M1.1,2017-01-31,v2.01, , 84.452856,
M1.2,2017-01-31,v2.01, , 1.000000,
M1.3,2017-01-31,v2.01, , 5.000000,
M1.4,2017-01-31,v2.01, , 19,
M2.1.1.1,2017-01-31,v2.01, , 0.364254,
M2.1.1.2,2017-01-31,v2.01, , 1.000000,
M2.1.1.3,2017-01-31,v2.01, , 3.000000,
M2.1.2.1,2017-01-31,v2.01, , 1.905153,
M2.1.2.2,2017-01-31,v2.01, , 1.000000,
M2.1.2.3,2017-01-31,v2.01, , 2.000000,
M2.1.3.1,2017-01-31,v2.01, , 1.353601,
M2.1.3.2,2017-01-31,v2.01, , 1.000000,
M2.1.3.3,2017-01-31,v2.01, , 2.000000,
M2.1.4.1,2017-01-31,v2.01, , 31.561430,
M2.1.4.2,2017-01-31,v2.01, , 1.000000,
M2.1.4.3,2017-01-31,v2.01, , 2.000000,
M2.1.5,2017-01-31,v2.01, , 5,
M2.2.1.1,2017-01-31,v2.01, , 0.364772,
M2.2.1.2,2017-01-31,v2.01, , 1.000000,
M2.2.1.3,2017-01-31,v2.01, , 3.000000,
M2.2.2.1,2017-01-31,v2.01, , 0.487897,
M2.2.2.2,2017-01-31,v2.01, , 1.000000,
M2.2.2.3,2017-01-31,v2.01, , 2.000000,
M2.2.3.1,2017-01-31,v2.01, , 0.181811,
M2.2.3.2,2017-01-31,v2.01, , 1.000000,
M2.2.3.3,2017-01-31,v2.01, , 2.000000,
M2.2.4.1,2017-01-31,v2.01, , 26.634091,
M2.2.4.2,2017-01-31,v2.01, , 1.000000,
M2.2.4.3,2017-01-31,v2.01, , 1.000000,
M2.2.5,2017-01-31,v2.01, , 4,
M3.1,2017-01-31,v2.01, , 0.555353,
M3.2,2017-01-31,v2.01, , 0.495457,
M3.3.1,2017-01-31,v2.01, LOCAL, 0.021868,
M3.3.1,2017-01-31,v2.01, INVALID, 0.002961,
M3.3.1,2017-01-31,v2.01, LOCALHOST, 0.002506,
M3.3.1,2017-01-31,v2.01, TEST, 0.000228,
M3.3.2,2017-01-31,v2.01, HOME, 0.026651,
M3.3.2,2017-01-31,v2.01, IP, 0.012528,
M3.3.2,2017-01-31,v2.01, LOCALDOMAIN, 0.010706,
M3.3.2,2017-01-31,v2.01, NEO, 0.005695,
M3.3.2,2017-01-31,v2.01, Z, 0.005239,
M3.3.2,2017-01-31,v2.01, DHCP, 0.003872,
M3.3.2,2017-01-31,v2.01, BELKIN, 0.002961,
M3.3.2,2017-01-31,v2.01, LAN, 0.002733,
M3.3.2,2017-01-31,v2.01, INTERNAL, 0.002278,
M3.3.2,2017-01-31,v2.01, WORKGROUP, 0.002278,
M3.3.2,2017-01-31,v2.01, CORP, 0.002050,
M3.3.2,2017-01-31,v2.01, COMG, 0.001595,
M3.3.2,2017-01-31,v2.01, DOMAIN, 0.001367,
M3.3.2,2017-01-31,v2.01, LOC, 0.001367,
M3.3.2,2017-01-31,v2.01, PK5001Z, 0.001367,
M3.3.2,2017-01-31,v2.01, TELUS, 0.001367,
M3.3.2,2017-01-31,v2.01, HOMESTATION, 0.001139,
M3.3.3,2017-01-31,v2.01, binary, 0.052392,
M3.3.3,2017-01-31,v2.01, chr_10, 0.036902,
M3.3.3,2017-01-31,v2.01, chr_7, 0.034852,
M3.3.3,2017-01-31,v2.01, chr_8, 0.033713,
M3.3.3,2017-01-31,v2.01, numeric, 0.033713,
M3.3.3,2017-01-31,v2.01, chr_14, 0.030524,
M3.3.3,2017-01-31,v2.01, chr_15, 0.030524,
M3.3.3,2017-01-31,v2.01, chr_11, 0.030296,
M3.3.3,2017-01-31,v2.01, chr_13, 0.029157,
M3.3.3,2017-01-31,v2.01, chr_9, 0.029157,
M3.3.3,2017-01-31,v2.01, chr_12, 0.028246,
M3.3.3,2017-01-31,v2.01, bad_syntax, 0.016856,
M3.3.3,2017-01-31,v2.01, ipv4, 0.003645,
M3.3.3,2017-01-31,v2.01, length_3, 0.003417,
M3.3.3,2017-01-31,v2.01, length_6, 0.002506,
M3.3.3,2017-01-31,v2.01, length_4, 0.002278,
M3.3.3,2017-01-31,v2.01, length_8, 0.002050,
M3.3.3,2017-01-31,v2.01, length_5, 0.001367,
M3.3.3,2017-01-31,v2.01, length_9, 0.001139,
M3.3.4,2017-01-31,v2.01, , 0.039863,
M3.4.1,2017-01-31,v2.01, , 0.703980,
